dataset,chunker,retriever,started_at,queries,docs,chunks,duration_s,Recall@10,MRR@10,NDCG@10
hotpotqa_distractor,recursive,e5,2026-02-13T02:29:53.746357+00:00,100,1000,1050,8.400,0.9900,0.9617,0.9247
hotpotqa_distractor,recursive,e5,2026-02-13T02:34:10.021277+00:00,100,1000,963,33.797,0.9900,0.9617,0.9247
hotpotqa_distractor,token,e5,2026-02-13T02:29:12.297562+00:00,100,1000,1088,9.148,0.9950,0.9600,0.9243
hotpotqa_distractor,token,e5,2026-02-13T02:32:19.985472+00:00,100,1000,998,34.256,0.9950,0.9600,0.9243
hotpotqa_distractor,late_token_pool,e5,2026-02-13T02:31:34.658781+00:00,100,1000,1163,17.577,0.9900,0.9617,0.9241
hotpotqa_distractor,late_token_pool,e5,2026-02-13T02:37:00.399905+00:00,100,1000,1064,25.739,0.9900,0.9617,0.9241
hotpotqa_distractor,semantic,e5,2026-02-13T02:30:27.198466+00:00,100,1000,4187,33.609,0.9850,0.9758,0.9232
hotpotqa_distractor,semantic,e5,2026-02-13T02:35:16.778530+00:00,100,1000,3810,63.656,0.9850,0.9758,0.9232
hotpotqa_distractor,sentence,e5,2026-02-13T02:33:11.839824+00:00,100,1000,3841,35.385,0.9900,0.9500,0.9068
hotpotqa_distractor,sentence,e5,2026-02-13T02:29:29.701195+00:00,100,1000,4222,11.474,0.9850,0.9500,0.9047
hotpotqa_distractor,semantic,bm25,2026-02-13T02:36:20.432322+00:00,100,1000,4153,29.003,0.9050,0.8812,0.7952
hotpotqa_distractor,recursive,bm25,2026-02-13T02:30:02.148346+00:00,100,1000,1050,3.656,0.9200,0.8599,0.7874
hotpotqa_distractor,token,bm25,2026-02-13T02:32:54.240918+00:00,100,1000,1077,6.850,0.9150,0.8637,0.7869
hotpotqa_distractor,recursive,bm25,2026-02-13T02:34:43.818660+00:00,100,1000,1040,6.340,0.9200,0.8591,0.7868
hotpotqa_distractor,late_token_pool,bm25,2026-02-13T02:37:26.148457+00:00,100,1000,1145,14.510,0.9150,0.8595,0.7855
hotpotqa_distractor,token,bm25,2026-02-13T02:29:21.446678+00:00,100,1000,1088,4.133,0.9100,0.8637,0.7853
hotpotqa_distractor,late_token_pool,bm25,2026-02-13T02:31:52.241076+00:00,100,1000,1157,10.419,0.9050,0.8603,0.7824
hotpotqa_distractor,sentence,bm25,2026-02-13T02:33:47.223221+00:00,100,1000,4188,12.840,0.9000,0.8616,0.7712
hotpotqa_distractor,semantic,bm25,2026-02-13T02:31:00.806158+00:00,100,1000,4187,24.833,0.8400,0.8790,0.7686
hotpotqa_distractor,sentence,sbert,2026-02-13T02:33:01.091955+00:00,100,1000,3401,10.748,0.8400,0.8981,0.7677
hotpotqa_distractor,sentence,bm25,2026-02-13T02:29:41.174278+00:00,100,1000,4222,9.787,0.8600,0.8603,0.7559
hotpotqa_distractor,sentence,sbert,2026-02-13T02:29:25.580619+00:00,100,1000,4222,4.119,0.8350,0.8835,0.7532
hotpotqa_distractor,late_token_pool,sbert,2026-02-13T02:31:25.637249+00:00,100,1000,1157,9.014,0.8300,0.8873,0.7512
hotpotqa_distractor,late_token_pool,sbert,2026-02-13T02:36:49.433660+00:00,100,1000,941,10.958,0.8300,0.8873,0.7512
hotpotqa_distractor,semantic,sbert,2026-02-13T02:34:50.159538+00:00,100,1000,3374,26.619,0.8250,0.8677,0.7452
hotpotqa_distractor,token,sbert,2026-02-13T02:29:07.466251+00:00,100,1000,1088,4.830,0.8100,0.8952,0.7447
hotpotqa_distractor,recursive,sbert,2026-02-13T02:29:50.961825+00:00,100,1000,1050,2.783,0.8100,0.8898,0.7439
hotpotqa_distractor,recursive,sbert,2026-02-13T02:34:00.064663+00:00,100,1000,857,9.957,0.8100,0.8898,0.7439
hotpotqa_distractor,token,sbert,2026-02-13T02:32:09.337825+00:00,100,1000,887,10.646,0.8100,0.8918,0.7438
hotpotqa_distractor,semantic,sbert,2026-02-13T02:30:05.804358+00:00,100,1000,4187,21.395,0.8250,0.8595,0.7377
